x,y,N,Topology,Norm
0,0.0,n48,homogenous,chris
1,0.030303030303030304,n48,homogenous,chris
2,0.15,n48,homogenous,chris
3,0.15555555555555556,n48,homogenous,chris
4,0.2564102564102564,n48,homogenous,chris
5,0.17391304347826086,n48,homogenous,chris
6,0.19047619047619047,n48,homogenous,chris
7,0.2391304347826087,n48,homogenous,chris
8,0.3111111111111111,n48,homogenous,chris
9,0.28888888888888886,n48,homogenous,chris
10,0.3191489361702128,n48,homogenous,chris
11,0.4,n48,homogenous,chris
12,0.6086956521739131,n48,homogenous,chris
13,0.5777777777777777,n48,homogenous,chris
14,0.5434782608695652,n48,homogenous,chris
15,0.7708333333333334,n48,homogenous,chris
16,0.7708333333333334,n48,homogenous,chris
17,0.782608695652174,n48,homogenous,chris
18,0.7872340425531915,n48,homogenous,chris
19,0.8085106382978723,n48,homogenous,chris
20,0.8478260869565217,n48,homogenous,chris
21,0.9166666666666666,n48,homogenous,chris
22,0.8541666666666666,n48,homogenous,chris
23,0.9302325581395349,n48,homogenous,chris
24,0.9318181818181818,n48,homogenous,chris
25,0.9318181818181818,n48,homogenous,chris
26,0.8936170212765957,n48,homogenous,chris
27,0.9111111111111111,n48,homogenous,chris
28,0.9347826086956522,n48,homogenous,chris
29,0.9230769230769231,n48,homogenous,chris
30,0.9302325581395349,n48,homogenous,chris
31,0.8717948717948718,n48,homogenous,chris
32,0.9333333333333333,n48,homogenous,chris
0,0.0,n48,random,rachel
1,0.06666666666666667,n48,random,rachel
2,0.05555555555555555,n48,random,rachel
3,0.023255813953488372,n48,random,rachel
4,0.1276595744680851,n48,random,rachel
5,0.18604651162790697,n48,random,rachel
6,0.1111111111111111,n48,random,rachel
7,0.20454545454545456,n48,random,rachel
8,0.1956521739130435,n48,random,rachel
9,0.18604651162790697,n48,random,rachel
10,0.15555555555555556,n48,random,rachel
11,0.13953488372093023,n48,random,rachel
12,0.16666666666666666,n48,random,rachel
13,0.2826086956521739,n48,random,rachel
14,0.15555555555555556,n48,random,rachel
15,0.27906976744186046,n48,random,rachel
16,0.23255813953488372,n48,random,rachel
17,0.2608695652173913,n48,random,rachel
18,0.2,n48,random,rachel
19,0.18181818181818182,n48,random,rachel
20,0.1956521739130435,n48,random,rachel
21,0.24444444444444444,n48,random,rachel
22,0.28888888888888886,n48,random,rachel
23,0.2391304347826087,n48,random,rachel
0,0.0,n48,spatial,john
1,0.15384615384615385,n48,spatial,john
2,0.22727272727272727,n48,spatial,john
3,0.26666666666666666,n48,spatial,john
4,0.2826086956521739,n48,spatial,john
5,0.2608695652173913,n48,spatial,john
6,0.2765957446808511,n48,spatial,john
7,0.3191489361702128,n48,spatial,john
8,0.25,n48,spatial,john
9,0.2826086956521739,n48,spatial,john
10,0.19148936170212766,n48,spatial,john
11,0.1956521739130435,n48,spatial,john
12,0.2978723404255319,n48,spatial,john
13,0.36363636363636365,n48,spatial,john
14,0.11428571428571428,n48,spatial,john
15,0.30434782608695654,n48,spatial,john
16,0.28888888888888886,n48,spatial,john
17,0.23404255319148937,n48,spatial,john
18,0.2553191489361702,n48,spatial,john
19,0.2708333333333333,n48,spatial,john
20,0.2608695652173913,n48,spatial,john
21,0.22916666666666666,n48,spatial,john
22,0.26666666666666666,n48,spatial,john
23,0.2127659574468085,n48,spatial,john
24,0.17391304347826086,n48,spatial,john
25,0.2765957446808511,n48,spatial,john
26,0.14893617021276595,n48,spatial,john
27,0.23404255319148937,n48,spatial,john
28,0.2765957446808511,n48,spatial,john
29,0.2608695652173913,n48,spatial,john
30,0.37777777777777777,n48,spatial,john
31,0.7073170731707317,n48,spatial,john
